,ID,date,latitude,longitude,type,source,station,aqi,day,year,month,hour,dayofmonth,y_test,error
119,9146,2015-10-01 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,39.0,2015-10-01,2015,10,20,1,37.6669646452566,-1.3330353547434015
126,9158,2015-10-01 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,47.0,2015-10-01,2015,10,21,1,62.640717277851294,15.640717277851294
130,9169,2015-10-01 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-01,2015,10,22,1,71.11982136739965,22.119821367399652
139,9194,2015-10-01 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,55.0,2015-10-01,2015,10,23,1,65.19729733517424,10.197297335174241
144,9203,2015-10-02 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,48.0,2015-10-02,2015,10,0,2,88.79757153881539,40.79757153881539
151,9221,2015-10-02 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-02,2015,10,1,2,93.58112264347687,44.581122643476874
156,9230,2015-10-02 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,44.0,2015-10-02,2015,10,2,2,96.67970528275018,52.67970528275018
160,9244,2015-10-02 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,41.0,2015-10-02,2015,10,3,2,81.09827042363976,40.09827042363976
168,9264,2015-10-02 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,41.0,2015-10-02,2015,10,4,2,56.077082470209675,15.077082470209675
173,9283,2015-10-02 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,33.0,2015-10-02,2015,10,5,2,45.1701740085383,12.170174008538297
180,9291,2015-10-02 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,30.0,2015-10-02,2015,10,6,2,59.51797622597053,29.51797622597053
185,9304,2015-10-02 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,29.0,2015-10-02,2015,10,7,2,66.3967997170226,37.3967997170226
195,9332,2015-10-02 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,39.0,2015-10-02,2015,10,8,2,77.64405373500541,38.644053735005414
198,9336,2015-10-02 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,44.0,2015-10-02,2015,10,9,2,72.7121855718515,28.712185571851506
207,9361,2015-10-02 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-02,2015,10,10,2,77.38462794184858,28.384627941848578
211,9369,2015-10-02 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,36.0,2015-10-02,2015,10,11,2,72.2121800924303,36.2121800924303
217,9389,2015-10-02 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,31.0,2015-10-02,2015,10,12,2,62.163246029391125,31.163246029391125
224,9404,2015-10-02 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,30.0,2015-10-02,2015,10,13,2,50.48673839720536,20.486738397205357
229,9419,2015-10-02 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,27.0,2015-10-02,2015,10,14,2,34.23330892319522,7.233308923195217
235,9435,2015-10-02 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,29.0,2015-10-02,2015,10,15,2,33.78742361487517,4.787423614875173
242,9450,2015-10-02 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,26.0,2015-10-02,2015,10,16,2,26.93713684282017,0.9371368428201698
246,9461,2015-10-02 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,23.0,2015-10-02,2015,10,17,2,34.3962688546488,11.396268854648802
255,9481,2015-10-02 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,21.0,2015-10-02,2015,10,18,2,28.66464768937867,7.664647689378668
261,9495,2015-10-02 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,33.0,2015-10-02,2015,10,19,2,32.05703612974352,-0.9429638702564773
265,9509,2015-10-02 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,69.0,2015-10-02,2015,10,20,2,58.22672819335456,-10.77327180664544
268,9513,2015-10-02 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-02,2015,10,21,2,78.09763109575418,-48.90236890424582
279,9534,2015-10-02 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,145.0,2015-10-02,2015,10,22,2,110.23074332690383,-34.769256673096166
284,9549,2015-10-02 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,150.0,2015-10-02,2015,10,23,2,105.27118174484464,-44.72881825515536
288,9567,2015-10-03 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-03,2015,10,0,3,140.23386347601632,13.233863476016325
294,9577,2015-10-03 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,122.0,2015-10-03,2015,10,1,3,137.53007260261228,15.530072602612279
298,9589,2015-10-03 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,117.0,2015-10-03,2015,10,2,3,128.12266752722658,11.122667527226582
302,9598,2015-10-03 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,103.0,2015-10-03,2015,10,3,3,110.29458029905409,7.29458029905409
312,9616,2015-10-03 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-03,2015,10,4,3,90.95922187687019,4.959221876870188
315,9632,2015-10-03 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,76.0,2015-10-03,2015,10,5,3,75.42086452299496,-0.579135477005039
323,9651,2015-10-03 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,51.0,2015-10-03,2015,10,6,3,89.13102438205776,38.13102438205776
326,9656,2015-10-03 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,47.0,2015-10-03,2015,10,7,3,83.92249110027626,36.92249110027626
335,9676,2015-10-03 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,76.0,2015-10-03,2015,10,8,3,96.81329013089838,20.81329013089838
339,9688,2015-10-03 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,93.0,2015-10-03,2015,10,9,3,97.98111003263787,4.981110032637872
344,9702,2015-10-03 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,104.0,2015-10-03,2015,10,10,3,117.16567408983491,13.165674089834909
350,9723,2015-10-03 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,100.0,2015-10-03,2015,10,11,3,133.25148415414935,33.25148415414935
359,9741,2015-10-03 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,83.0,2015-10-03,2015,10,12,3,122.64679420817708,39.646794208177084
366,9750,2015-10-03 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,69.0,2015-10-03,2015,10,13,3,98.0856251034117,29.0856251034117
369,9769,2015-10-03 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,58.0,2015-10-03,2015,10,14,3,66.86402093164398,8.864020931643978
374,9779,2015-10-03 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-03,2015,10,15,3,52.85472617113149,3.854726171131489
380,9791,2015-10-03 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,39.0,2015-10-03,2015,10,16,3,36.357626230605376,-2.6423737693946237
386,9812,2015-10-03 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,40.0,2015-10-03,2015,10,17,3,41.630685772666865,1.6306857726668653
392,9824,2015-10-03 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,39.0,2015-10-03,2015,10,18,3,49.67229348754874,10.672293487548743
399,9837,2015-10-03 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,79.0,2015-10-03,2015,10,19,3,72.28247110369121,-6.717528896308792
406,9853,2015-10-03 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,122.0,2015-10-03,2015,10,20,3,99.1080086235318,-22.891991376468198
411,9872,2015-10-03 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,159.0,2015-10-03,2015,10,21,3,115.77787629169421,-43.22212370830579
419,9885,2015-10-03 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,180.0,2015-10-03,2015,10,22,3,113.99350921968832,-66.00649078031168
422,9900,2015-10-03 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,160.0,2015-10-03,2015,10,23,3,116.82643336182262,-43.17356663817738
428,9912,2015-10-04 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-04,2015,10,0,4,123.23531572014761,-3.764684279852389
434,9925,2015-10-04 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-04,2015,10,1,4,115.55494918179332,-11.445050818206681
444,9951,2015-10-04 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,122.0,2015-10-04,2015,10,2,4,107.81182260549329,-14.18817739450671
446,9961,2015-10-04 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,114.0,2015-10-04,2015,10,3,4,93.27746962310962,-20.722530376890376
451,9968,2015-10-04 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,106.0,2015-10-04,2015,10,4,4,78.19505879033922,-27.804941209660782
460,9994,2015-10-04 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,100.0,2015-10-04,2015,10,5,4,66.51284001238021,-33.48715998761979
465,10007,2015-10-04 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-04,2015,10,6,4,78.19825996025499,-7.801740039745013
470,10018,2015-10-04 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,104.0,2015-10-04,2015,10,7,4,68.9667278955343,-35.033272104465695
475,10028,2015-10-04 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,101.0,2015-10-04,2015,10,8,4,71.61286655739232,-29.387133442607677
481,10042,2015-10-04 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,107.0,2015-10-04,2015,10,9,4,67.76193533242147,-39.23806466757853
488,10058,2015-10-04 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,100.0,2015-10-04,2015,10,10,4,88.18992631832073,-11.81007368167927
492,10072,2015-10-04 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,100.0,2015-10-04,2015,10,11,4,105.087287296103,5.087287296103
499,10086,2015-10-04 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,90.0,2015-10-04,2015,10,12,4,89.04221213077116,-0.957787869228838
503,10098,2015-10-04 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,76.0,2015-10-04,2015,10,13,4,71.33010469137014,-4.669895308629862
509,10114,2015-10-04 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,65.0,2015-10-04,2015,10,14,4,60.49193381460154,-4.508066185398462
519,10134,2015-10-04 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,55.0,2015-10-04,2015,10,15,4,37.10327826148083,-17.89672173851917
525,10154,2015-10-04 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,44.0,2015-10-04,2015,10,16,4,29.16306513111453,-14.836934868885471
528,10159,2015-10-04 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-04,2015,10,17,4,36.77654489260425,-12.22345510739575
533,10172,2015-10-04 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,58.0,2015-10-04,2015,10,18,4,31.22451662240836,-26.77548337759164
542,10196,2015-10-04 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,83.0,2015-10-04,2015,10,19,4,31.89849906297439,-51.101500937025605
544,10201,2015-10-04 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,109.0,2015-10-04,2015,10,20,4,70.70072962422233,-38.29927037577767
551,10223,2015-10-04 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,142.0,2015-10-04,2015,10,21,4,107.03543571418983,-34.96456428581017
559,10237,2015-10-04 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,160.0,2015-10-04,2015,10,22,4,138.1586800702466,-21.84131992975341
562,10252,2015-10-04 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,174.0,2015-10-04,2015,10,23,4,117.97587311469628,-56.024126885303716
569,10270,2015-10-05 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,159.0,2015-10-05,2015,10,0,5,113.37822895676744,-45.621771043232556
574,10281,2015-10-05 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,146.0,2015-10-05,2015,10,1,5,106.7867439712721,-39.2132560287279
583,10293,2015-10-05 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,148.0,2015-10-05,2015,10,2,5,93.49246537724125,-54.507534622758754
589,10310,2015-10-05 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,134.0,2015-10-05,2015,10,3,5,92.56218034714446,-41.43781965285554
596,10333,2015-10-05 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,123.0,2015-10-05,2015,10,4,5,77.97162719022582,-45.02837280977418
599,10337,2015-10-05 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,106.0,2015-10-05,2015,10,5,5,66.05594302486023,-39.94405697513977
608,10362,2015-10-05 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-05,2015,10,6,5,68.57479567857295,-17.425204321427046
611,10369,2015-10-05 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,76.0,2015-10-05,2015,10,7,5,70.93956838954016,-5.060431610459844
619,10391,2015-10-05 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,97.0,2015-10-05,2015,10,8,5,80.89301007430909,-16.10698992569091
624,10400,2015-10-05 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,107.0,2015-10-05,2015,10,9,5,86.51733043593144,-20.48266956406856
625,10403,2015-10-05 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,118.0,2015-10-05,2015,10,10,5,99.76026133046055,-18.23973866953945
635,10423,2015-10-05 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,119.0,2015-10-05,2015,10,11,5,111.71503095656762,-7.284969043432383
638,10435,2015-10-05 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,108.0,2015-10-05,2015,10,12,5,89.90124042094193,-18.09875957905807
647,10461,2015-10-05 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,102.0,2015-10-05,2015,10,13,5,66.8757523905966,-35.1242476094034
651,10471,2015-10-05 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,79.0,2015-10-05,2015,10,14,5,58.4160048954559,-20.5839951045441
657,10487,2015-10-05 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,55.0,2015-10-05,2015,10,15,5,42.230102814820754,-12.769897185179246
661,10493,2015-10-05 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,49.0,2015-10-05,2015,10,16,5,34.31141573598239,-14.688584264017607
672,10520,2015-10-05 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,43.0,2015-10-05,2015,10,17,5,39.15023499021821,-3.849765009781791
674,10526,2015-10-05 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,41.0,2015-10-05,2015,10,18,5,41.33945970255721,0.3394597025572068
679,10539,2015-10-05 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,103.0,2015-10-05,2015,10,19,5,46.98286028591772,-56.01713971408228
686,10556,2015-10-05 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,141.0,2015-10-05,2015,10,20,5,65.07706063165506,-75.92293936834494
692,10571,2015-10-05 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,154.0,2015-10-05,2015,10,21,5,88.99827728055777,-65.00172271944223
699,10586,2015-10-05 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,148.0,2015-10-05,2015,10,22,5,110.90496093969814,-37.09503906030186
704,10601,2015-10-05 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,124.0,2015-10-05,2015,10,23,5,135.75778998562214,11.75778998562214
711,10623,2015-10-06 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,131.0,2015-10-06,2015,10,0,6,121.85594936226093,-9.14405063773907
718,10638,2015-10-06 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,131.0,2015-10-06,2015,10,1,6,111.85564031017796,-19.14435968982204
722,10652,2015-10-06 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,126.0,2015-10-06,2015,10,2,6,102.87766105753768,-23.12233894246232
730,10669,2015-10-06 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,113.0,2015-10-06,2015,10,3,6,94.8194004856103,-18.180599514389698
733,10673,2015-10-06 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,110.0,2015-10-06,2015,10,4,6,82.12040418683878,-27.879595813161217
740,10695,2015-10-06 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,101.0,2015-10-06,2015,10,5,6,72.02316579616655,-28.976834203833448
750,10716,2015-10-06 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,79.0,2015-10-06,2015,10,6,6,85.00223435086673,6.002234350866729
756,10732,2015-10-06 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,65.0,2015-10-06,2015,10,7,6,74.93925356235911,9.939253562359113
758,10737,2015-10-06 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,79.0,2015-10-06,2015,10,8,6,84.73222018108491,5.732220181084912
765,10757,2015-10-06 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,106.0,2015-10-06,2015,10,9,6,79.73587550005529,-26.264124499944714
773,10769,2015-10-06 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,116.0,2015-10-06,2015,10,10,6,100.53513050997618,-15.464869490023816
777,10783,2015-10-06 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,109.0,2015-10-06,2015,10,11,6,109.43912917429043,0.43912917429042864
785,10805,2015-10-06 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,97.0,2015-10-06,2015,10,12,6,82.95122443726763,-14.048775562732374
789,10819,2015-10-06 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-06,2015,10,13,6,60.63969613329968,-25.36030386670032
795,10826,2015-10-06 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,69.0,2015-10-06,2015,10,14,6,63.689880868729055,-5.310119131270945
804,10852,2015-10-06 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,58.0,2015-10-06,2015,10,15,6,42.07020358132091,-15.92979641867909
810,10867,2015-10-06 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,55.0,2015-10-06,2015,10,16,6,46.834922926168325,-8.165077073831675
812,10877,2015-10-06 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,48.0,2015-10-06,2015,10,17,6,46.89954368851562,-1.100456311484379
820,10888,2015-10-06 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,58.0,2015-10-06,2015,10,18,6,34.98626416967502,-23.013735830324983
827,10906,2015-10-06 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-06,2015,10,19,6,25.73517350037873,-60.26482649962127
829,10913,2015-10-06 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,109.0,2015-10-06,2015,10,20,6,29.231356432638574,-79.76864356736142
836,10929,2015-10-06 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,100.0,2015-10-06,2015,10,21,6,43.354212088720836,-56.645787911279164
844,10949,2015-10-06 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,46.0,2015-10-06,2015,10,22,6,45.197999563252324,-0.8020004367476758
847,10958,2015-10-06 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,31.0,2015-10-06,2015,10,23,6,51.81161846043629,20.811618460436293
853,10973,2015-10-07 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,26.0,2015-10-07,2015,10,0,7,25.471268199083575,-0.5287318009164252
862,10998,2015-10-07 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,23.0,2015-10-07,2015,10,1,7,38.22982875475397,15.229828754753967
869,11009,2015-10-07 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,19.0,2015-10-07,2015,10,2,7,36.560004454397664,17.560004454397664
871,11018,2015-10-07 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,14.0,2015-10-07,2015,10,3,7,28.862123282744676,14.862123282744676
879,11043,2015-10-07 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,10.0,2015-10-07,2015,10,4,7,21.29878403177175,11.29878403177175
883,11048,2015-10-07 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,17.0,2015-10-07,2015,10,5,7,11.442081461110186,-5.557918538889814
911,11116,2015-10-07 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,27.0,2015-10-07,2015,10,10,7,17.531049224334726,-9.468950775665274
916,11135,2015-10-07 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,24.0,2015-10-07,2015,10,11,7,16.81647107073177,-7.183528929268231
958,11238,2015-10-07 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,36.0,2015-10-07,2015,10,19,7,18.058518826056225,-17.941481173943775
966,11256,2015-10-07 20:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,48.0,2015-10-07,2015,10,20,7,29.098876781723312,-18.901123218276688
969,11266,2015-10-07 21:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-07,2015,10,21,7,47.519811169483766,-38.480188830516234
976,11276,2015-10-07 22:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,112.0,2015-10-07,2015,10,22,7,63.05299322067123,-48.94700677932877
981,11289,2015-10-07 23:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-07,2015,10,23,7,71.5327138198005,-55.467286180199494
986,11306,2015-10-08 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,126.0,2015-10-08,2015,10,0,8,139.6402103838678,13.64021038386781
